date,tank,community,adj_eth_area,dispersal,wattage,metacommunity,treatment_rep,temp_mean,temp_max,temp_sd,temp_min,degree_hrs,bluegreen,chl_a_fluoro,cryptophyta,diatoms,green_algae,yellow_substances,experiment,inc.start.time,inc.stop.time,light.start.lux,inc_meanT,inc_maxT,inc_minT,week,nitrate,phosphate,ammonium,total_n,n_to_p,mean_chla,sd_chla,NPP,R,GPP,net_troph,total_adj_eth_area,total_chla,mass_specific_NPP
2018-08-15,6,h2o,2.42236667262,none,300,2,1,25.905625,29,2.0921380367187328,22.99,89529.84,1.66,4.59,0.54,0,2.39,1.77,TRUE,12:05:00,14:08:00,1108,26.585,27.58,25.52,2,0.5244821463151224,0.7244781336585212,1.3764080983821314,1.9008902446972538,2.623806235666497,4.23,0.07071067811865513,1.4600000000000009,-1.8400000000000007,-0.3799999999999999,autotrophic,24.758200017860002,20.845000000000002,0.07004077716478775
2018-08-15,33,peri,2.51016667262,none,0,9,3,22.900555555555556,26.04,2.002972538478496,20.25,79144.31999999999,0,21.46,0,3.97,17.49,0.94,TRUE,10:52:00,13:05:00,892,22.18642857142857,23.29,21.1,2,0,1.416951747486558,0,0,0,31.405,5.451793282948279,1.6099999999999994,-2.0999999999999996,-0.4900000000000002,autotrophic,30.97680001786,43.375,0.03711815561959653
2018-08-15,13,sed,12.628166672619999,none,300,4,2,25.720277777777778,28.95,2.100281014978791,22.86,88889.28,0.97,31.47,0.09,0,30.41,1.78,TRUE,11:35:00,13:36:00,1081,25.699166666666667,26.85,24.54,2,0.2299779758290287,0,0,0.2299779758290287,Inf,NA,NA,2.5199999999999996,-2.549999999999999,-0.02999999999999936,autotrophic,18.56400001786,88.66500000000002,0.028421586871933673
2018-07-18,42,h2o,1.8421666726200001,none,100,11,4,25.935,29.9,2.3730568053459233,22.73,89631.36,0.35,8.92,0.71,0,7.86,1.46,TRUE,12:02:00,14:34:00,NA,26.582,28.14,24.92,1,0,0.36656477963681605,0.4108898488518836,0.4108898488518836,1.1209201529371802,5.0600000000000005,0.09899494936611643,NA,NA,NA,NA,8.41770001786,83.035,NA
2018-08-15,35,h2o,1.9387666726200001,none,300,9,3,26.258263888888887,29.38,2.0584770423960252,23.42,90748.56,1.54,53.07,0.63,0,50.9,1.52,TRUE,11:13:00,13:20:00,1068,26.096923076923076,27.32,24.71,2,0.5840447875370288,0,0,0.5840447875370288,Inf,22.78,0.014142135623730649,2.74,-2.370000000000001,0.3699999999999992,autotrophic,4.68213334524,28.450000000000003,0.09630931458699472
2018-08-13,16,h2o,4.2285666726199995,none,100,4,2,21.917569444444446,24.66,1.6954295808659272,19.6,75747.12,0,24.25,0.54,0,23.71,1.44,TRUE,12:11:00,14:16:00,971,22.365833333333335,23.16,21.49,2,0,0,1.7970943010873848,1.7970943010873848,Inf,11.19,0.4808326112068521,1.2699999999999996,-1.0199999999999996,0.25,autotrophic,29.761100017860002,48.209999999999994,0.026343082348060563
2018-08-15,5,peri,1.0697666726200001,none,200,2,1,25.162777777777777,28.48,2.1868658943297006,22.18,86962.56,1.17,30.71,0.48,0,29.06,1.67,TRUE,12:15:00,14:20:00,1158,26.067857142857143,27.24,24.75,2,0,0,0,0,NaN,16.045,0.09192388155425048,1.5700000000000003,-1.79,-0.21999999999999975,autotrophic,2.2605333452400003,24.715000000000003,0.06352417560186122
2018-08-13,6,sed,373.48336667262004,none,300,2,1,23.844930555555557,26.38,1.5561221285811173,21.58,82408.08,2.16,10.7,0.03,0,8.5,1.48,TRUE,10:59:00,13:08:00,723,23.389230769230767,24.24,22.56,2,0,0,0.34000621016167104,0.34000621016167104,Inf,NA,NA,1.5099999999999998,-1.2699999999999996,0.2400000000000002,autotrophic,381.48330001786,40.825,0.03698714023270054
2018-08-13,8,sed,63.87936667262,none,0,2,1,21.755555555555556,25.14,2.046279850768517,19,75187.20000000001,1.27,17.51,0.18,0,16.06,1.23,TRUE,11:31:00,13:51:00,747,22.097142857142856,23.21,20.93,2,0,0,0,0,NaN,NA,NA,1.0899999999999999,-1.0899999999999999,0,autotrophic,75.84290001786,0,Inf
2018-08-15,13,peri,2.9422666726199997,none,300,4,2,25.720277777777778,28.95,2.100281014978791,22.86,88889.28,0.97,31.47,0.09,0,30.41,1.78,TRUE,11:35:00,13:36:00,1081,25.699166666666667,26.85,24.54,2,0.2299779758290287,0,0,0.2299779758290287,Inf,80.33000000000001,22.019305166149092,2.5199999999999996,-2.549999999999999,-0.02999999999999936,autotrophic,18.56400001786,88.66500000000002,0.028421586871933673
