Sample date,tank,Count Date,Counted by,Chaoborus,Ephippia,Scapholeberis,Calanoida (m),Nauplii,Daphnia,Simocephalus,Chironomid,Juvenile Cladocera ,Calanoida (small),Cyclopoida,Calanoida (L),Diaphanosoma,Copepodite 
13-06-2018,1,19-06-2018,Andrew Maybury,7,1,3,4,40,3,2,3,0,0,0,0,0,
13-06-2018,2,19-06-2018,Andrew Maybury,4,0,1,1,41,2,0,2,1,0,0,0,0,
13-06-2018,3,22-06-2018,Andrew Maybury,7,3,1,3,17,5,0,0,1,1,1,0,0,
13-06-2018,4,22-06-2018,Andrew Maybury,5,3,2,8,43,15,0,4,0,0,0,0,1,
13-06-2018,5,9/7/2018,Andrew Maybury,7,0,0,4,5,1,0,3,0,3,0,0,0,
13-06-2018,6,9/7/2018,Andrew Maybury,5,0,1,4,5,19,0,1,0,4,0,0,0,
13-06-2018,7,9/7/2018,Andrew Maybury,5,0,0,0,1,32,0,0,0,1,0,0,0,
13-06-2018,8,10/7/2018,Andrew Maybury,3,0,0,12,2,28,0,1,0,0,0,0,0,
13-06-2018,9,10/7/2018,Andrew Maybury,9,0,0,4,0,11,0,1,0,0,2,0,0,
13-06-2018,10,7/31/2018,Andrew Maybury,4,1,0,1,41,14,0,0,0,11,0,0,0,
13-06-2018,11,7/31/2018,Andrew Maybury,6,1,0,4,68,23,0,5,0,10,2,0,0,
13-06-2018,12,7/31/2018,Andrew Maybury,7,0,0,8,27,30,0,2,0,11,2,0,0,
13-06-2018,13,7/31/2018,Andrew Maybury,7,1,0,2,16,5,0,2,0,0,0,0,0,
13-06-2018,14,7/31/2018,Andrew Maybury,6,0,0,3,1,14,0,0,0,0,1,0,0,
13-06-2018,15,8/11/2018,Andrew Maybury,10,1,1,0,20,1,0,1,0,1,0,0,1,
13-06-2019,16,8/11/2018,Andrew Maybury,11,1,0,7,14,0,0,3,0,2,0,0,2,
13-06-2018,17,8/11/2018,Andrew Maybury,8,17,2,11,32,60,0,1,0,3,2,0,3,
13-06-2018,18,8/11/2018,Andrew Maybury,10,6,0,13,18,17,0,1,0,2,0,0,3,1
13-06-2018,19,8/11/2018,Andrew Maybury,4,2,0,0,35,17,0,0,0,0,0,0,0,0
13-06-2018,20,8/11/2018,Andrew Maybury,6,0,0,6,34,25,0,1,0,8,1,0,0,0
13-06-2018,21,8/11/2018,Andrew Maybury,13,1,1,1,51,19,0,3,0,4,1,0,0,1
13-06-2018,22,8/11/2018,Andrew Maybury,12,2,1,8,87,4,0,2,0,8,5,0,0,0
13-06-2018,23,8/11/2018,Andrew Maybury,9,4,0,2,6,87,0,2,0,1,0,0,0,0
13-06-2018,24,8/11/2018,Andrew Maybury,3,4,0,4,18,12,0,1,0,3,0,0,0,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
28-06-2018,9,10/7/2018,Andrew Maybury,28,4,5,17,122,6,0,12,0,30,20,0,1,
